player_id,wheelo_ev,wheelo_player_name,team_id,n_matches,wheelo_rank
12943,46.079,Nick Daicos,collingwood,22,1.0
12692,32.598,Bailey Smith,geelong,22,2.0
12269,29.426000000000002,Marcus Bontempelli,western_bulldogs,22,3.0
12261,26.744,Patrick Cripps,carlton,23,4.0
13040,25.078,Will Ashcroft,brisbane_lions,23,5.0
12915,24.021,Jai Newcombe,hawthorn,23,6.0
12516,23.532,Jordan Dawson,adelaide,20,7.0
12055,22.817999999999998,Lachie Neale,brisbane_lions,23,8.0
12950,22.352,Nasiah Wanganeen-Milera,st_kilda,17,9.0
13034,21.764,Harry Sheezel,north_melbourne,22,10.0
12326,21.364,Isaac Heeney,sydney,20,11.0
12956,19.827,Jason Horne-Francis,port_adelaide,21,12.0
11966,19.552,Max Gawn,melbourne,23,13.0
12798,19.101,Izak Rankine,adelaide,20,14.0
12771,18.823,Kysaiah Pickett,melbourne,23,15.0
12698,18.685,Zak Butters,port_adelaide,17,16.0
12590,16.942999999999998,Luke Davies-Uniacke,north_melbourne,23,17.0
12589,16.116,Andrew Brayshaw,fremantle,23,18.0
12605,15.958,Ed Richards,western_bulldogs,22,19.0
12862,15.823,Errol Gulden,sydney,11,20.0
12797,15.647,Chad Warner,sydney,17,21.0
12786,15.197,Caleb Serong,fremantle,20,22.0
12779,14.919,Luke Jackson,fremantle,23,23.0
13111,14.405000000000001,Harley Reid,west_coast,23,24.0
12684,14.132,Sam Walsh,carlton,23,25.0
12881,14.014999999999999,Max Holmes,geelong,18,26.0
12768,13.648,Matt Rowell,gold_coast,18,27.0
12535,12.466,Shai Bolton,fremantle,22,28.0
12430,11.885,Christian Petracca,gold_coast,20,29.0
12693,11.716,Tom Sparrow,melbourne,23,30.0
12767,11.019,Noah Anderson,gold_coast,22,31.0
12969,10.785,Finn Callaghan,greater_western_sydney,19,32.0
13048,10.736,Jacob van Rooyen,melbourne,22,33.0
12410,10.488,Clayton Oliver,greater_western_sydney,23,34.0
12610,10.149000000000001,Zac Bailey,brisbane_lions,22,35.0
11845,10.083,Jack Gunston,hawthorn,17,36.0
13193,10.074,Max Hall,st_kilda,23,37.0
13104,10.062,Shaun Mannagh,geelong,23,38.0
12025,9.926,Toby Greene,greater_western_sydney,21,39.0
12421,9.758000000000001,Charlie Curnow,sydney,22,40.0
12983,9.568,Jye Amiss,fremantle,22,41.0
12217,9.552,Brodie Grundy,sydney,21,42.0
12504,9.282,Tim Taranto,richmond,21,43.0
12411,9.151,George Hewett,carlton,19,44.0
12849,8.722,Sam Berry,adelaide,22,45.0
12782,8.171999999999999,Lachie Ash,greater_western_sydney,23,46.0
13274,8.096,Jagga Smith,carlton,23,47.0
13125,7.244999999999999,Hugo Garcia,st_kilda,23,48.0
12237,7.035,Jarman Impey,hawthorn,21,49.0
13105,6.992,Nick Watson,hawthorn,21,50.0
13137,6.9030000000000005,Logan Morris,brisbane_lions,22,51.0
12887,6.7459999999999996,Josh Treacy,fremantle,23,52.0
12743,6.744,John Noble,gold_coast,23,53.0
12699,6.706,Nick Blakey,sydney,22,54.0
12331,6.394,Touk Miller,gold_coast,23,55.0
12167,6.381,Jake Stringer,greater_western_sydney,23,56.0
12955,6.307,Josh Ward,hawthorn,23,57.0
13180,6.177,Murphy Reid,fremantle,21,58.0
12318,6.175,Jordan De Goey,collingwood,21,59.0
12405,6.144,Wayne Milera,adelaide,18,60.0
12564,6.11,Rowan Marshall,st_kilda,21,61.0
12241,6.093,Zach Merrett,essendon,23,62.0
12711,6.016,Justin McInerney,sydney,13,63.0
12954,6.0040000000000004,Connor Macdonald,hawthorn,23,64.0
12368,5.432,Jack Steele,melbourne,23,65.0
12573,5.314,Josh Daicos,collingwood,23,66.0
12968,5.308999999999999,Kai Lohmann,brisbane_lions,23,67.0
12953,5.116,Josh Rachele,adelaide,23,68.0
12974,5.067,Oliver Dempsey,geelong,23,69.0
12143,4.943,Lachie Whitfield,greater_western_sydney,21,70.0
12373,4.793,Caleb Daniel,north_melbourne,23,71.0
12703,4.681,Callum Wilkie,st_kilda,23,72.0
12660,4.578,Darcy Cameron,collingwood,22,73.0
12406,4.565,Darcy Parish,essendon,14,74.0
