player_id,player_name,team_id,production_rank,production_ev,objective_rank,objective_ev,wheelo_ev,wheelo_rank,espn_ev,espn_rank,betfair_ev,betfair_rank,our_midpoint,our_internal_gap,n_external_sources,external_consensus_ev,external_min,external_max,external_range,external_source_label,our_external_gap,external_consensus_rank,agreement_category
12943,Nick Daicos,collingwood,1.0,47.12015010114072,1,38.67739890966238,46.079,1.0,42.0,1.0,,,42.89877450540155,8.442751191478344,2,44.039500000000004,42.0,46.079,4.079000000000001,Wheelo + ESPN benchmark,-1.1407254945984562,1.0,HIGH DISAGREEMENT
12692,Bailey Smith,geelong,2.0,35.37331884523271,3,30.903375777174592,32.598,2.0,32.5,2.0,,,33.13834731120365,4.469943068058118,2,32.549,32.5,32.598,0.09799999999999898,Wheelo + ESPN benchmark,0.5893473112036531,2.0,STRONG CONVERGENCE
12269,Marcus Bontempelli,western_bulldogs,3.0,25.816585516313165,2,31.991781071201437,29.426000000000002,3.0,30.5,3.0,11.0,1.0,28.9041832937573,6.175195554888273,3,23.642,11.0,30.5,19.5,Wheelo + ESPN + Betfair benchmark,5.2621832937573,4.0,PRODUCTION + EXTERNAL AGREE
13040,Will Ashcroft,brisbane_lions,4.0,24.7805123150738,16,19.78976590914119,25.078,5.0,22.5,10.0,5.0,2.0,22.285139112107494,4.990746405932608,3,17.526,5.0,25.078,20.078,Wheelo + ESPN + Betfair benchmark,4.759139112107494,9.0,OBJECTIVE + EXTERNAL AGREE
12261,Patrick Cripps,carlton,5.0,23.91622694318936,5,27.534542216688813,26.744,4.0,25.0,4.0,,,25.72538457993909,3.6183152734994515,2,25.872,25.0,26.744,1.7439999999999998,Wheelo + ESPN benchmark,-0.1466154200609111,3.0,STRONG CONVERGENCE
12055,Lachie Neale,brisbane_lions,6.0,23.45663122741845,6,26.04633177453362,22.817999999999998,8.0,24.0,7.0,2.0,22.0,24.751481500976034,2.5897005471151715,3,16.272666666666666,2.0,24.0,22.0,Wheelo + ESPN + Betfair benchmark,8.478814834309368,12.0,OUR MODELS AGREE / EXTERNAL DIFFERS
12326,Isaac Heeney,sydney,7.0,23.395768591141263,4,27.537118392264727,21.364,11.0,21.5,12.0,,,25.466443491702996,4.141349801123464,2,21.432000000000002,21.364,21.5,0.13599999999999923,Wheelo + ESPN benchmark,4.034443491702994,6.0,PRODUCTION + EXTERNAL AGREE
13034,Harry Sheezel,north_melbourne,8.0,22.634826095460514,15,20.11016787321429,21.764,10.0,21.0,13.0,3.0,9.0,21.372496984337403,2.5246582222462237,3,15.254666666666665,3.0,21.764,18.764,Wheelo + ESPN + Betfair benchmark,6.117830317670737,18.0,OUR MODELS AGREE / EXTERNAL DIFFERS
12798,Izak Rankine,adelaide,9.0,20.84391247062538,11,21.261864465417887,19.101,14.0,23.5,8.0,5.0,2.0,21.052888468021635,0.41795199479250655,3,15.866999999999999,5.0,23.5,18.5,Wheelo + ESPN + Betfair benchmark,5.185888468021636,14.0,OUR MODELS AGREE / EXTERNAL DIFFERS
12516,Jordan Dawson,adelaide,10.0,20.48405454386381,21,17.841332739614746,23.532,7.0,25.0,4.0,1.0,38.0,19.162693641739278,2.6427218042490637,3,16.510666666666665,1.0,25.0,24.0,Wheelo + ESPN + Betfair benchmark,2.652026975072612,11.0,STRONG CONVERGENCE
