match_id,home_team_id,away_team_id,official_goals,official_behinds,away_team_score_goals,away_team_score_behinds,team_id,reconstructed_goals,reconstructed_behinds_naive,reconstructed_behinds_fixed,home_team_score_goals,home_team_score_behinds,goals_match_official,behinds_naive_match_official,behinds_fixed_match_official
CD_M20240140003,CD_T1000,CD_T120,9,6,,,CD_T120,9,5,6,14.0,15.0,True,False,True
CD_M20240140004,CD_T1010,CD_T40,11,16,,,CD_T40,11,13,16,18.0,6.0,True,False,True
CD_M20240140101,CD_T30,CD_T120,12,9,,,CD_T120,12,7,9,12.0,14.0,True,False,True
CD_M20240140102,CD_T40,CD_T160,15,12,,,CD_T160,15,10,12,10.0,9.0,True,False,True
CD_M20240140103,CD_T50,CD_T80,11,17,,,CD_T80,11,14,17,17.0,5.0,True,False,True
CD_M20240140104,CD_T1010,CD_T100,13,4,,,CD_T100,13,4,4,17.0,19.0,True,True,True
CD_M20240140105,CD_T70,CD_T130,9,14,,,CD_T130,9,12,14,10.0,16.0,True,False,True
CD_M20240140106,CD_T1000,CD_T10,8,6,,,CD_T10,8,3,6,8.0,12.0,True,False,True
CD_M20240140107,CD_T90,CD_T140,9,10,,,CD_T140,9,9,10,16.0,13.0,True,False,True
CD_M20240140108,CD_T110,CD_T150,10,10,,,CD_T150,10,9,10,16.0,24.0,True,False,True
CD_M20240140109,CD_T60,CD_T20,10,10,,,CD_T20,10,9,10,14.0,9.0,True,False,True
CD_M20240140201,CD_T130,CD_T40,12,7,,,CD_T40,12,4,7,14.0,10.0,True,False,True
CD_M20240140202,CD_T10,CD_T70,14,12,,,CD_T70,14,6,12,11.0,11.0,True,False,True
CD_M20240140203,CD_T100,CD_T60,15,12,,,CD_T60,15,10,12,11.0,10.0,True,False,True
CD_M20240140204,CD_T80,CD_T90,14,9,,,CD_T90,14,7,9,5.0,8.0,True,False,True
CD_M20240140205,CD_T160,CD_T50,15,11,,,CD_T50,15,8,11,19.0,17.0,True,False,True
CD_M20240140206,CD_T140,CD_T1000,10,7,,,CD_T1000,10,6,7,18.0,7.0,True,False,True
CD_M20240140207,CD_T120,CD_T110,18,14,,,CD_T110,18,14,14,13.0,14.0,True,True,True
CD_M20240140208,CD_T150,CD_T1010,16,12,,,CD_T1010,16,7,12,5.0,13.0,True,False,True
CD_M20240140301,CD_T20,CD_T40,14,8,,,CD_T40,14,7,8,10.0,12.0,True,False,True
CD_M20240140302,CD_T100,CD_T30,21,11,,,CD_T30,21,6,11,12.0,9.0,True,False,True
CD_M20240140303,CD_T60,CD_T10,4,10,,,CD_T10,4,8,10,9.0,15.0,True,False,True
CD_M20240140304,CD_T50,CD_T130,9,13,,,CD_T130,9,11,13,10.0,11.0,True,False,True
CD_M20240140305,CD_T110,CD_T90,15,6,,,CD_T90,15,4,6,13.0,11.0,True,False,True
CD_M20240140306,CD_T140,CD_T150,3,12,,,CD_T150,3,11,12,16.0,10.0,True,False,True
CD_M20240140307,CD_T120,CD_T160,11,11,,,CD_T160,11,8,11,11.0,16.0,True,False,True
CD_M20240140308,CD_T80,CD_T70,17,4,,,CD_T70,17,4,4,10.0,10.0,True,True,True
CD_M20240140401,CD_T10,CD_T90,10,18,,,CD_T90,10,15,18,8.0,15.0,True,False,True
CD_M20240140402,CD_T20,CD_T100,6,6,,,CD_T100,6,5,6,16.0,16.0,True,False,True
CD_M20240140403,CD_T110,CD_T50,6,6,,,CD_T50,6,5,6,17.0,9.0,True,False,True
CD_M20240140404,CD_T150,CD_T160,15,14,,,CD_T160,15,12,14,11.0,12.0,True,False,True
CD_M20240140405,CD_T60,CD_T30,10,13,,,CD_T30,10,12,13,9.0,9.0,True,False,True
CD_M20240140406,CD_T140,CD_T70,14,11,,,CD_T70,14,8,11,14.0,7.0,True,False,True
CD_M20240140407,CD_T1000,CD_T1010,18,9,,,CD_T1010,18,7,9,13.0,11.0,True,False,True
CD_M20240140408,CD_T120,CD_T130,9,13,,,CD_T130,9,8,13,9.0,6.0,True,False,True
CD_M20240140409,CD_T40,CD_T80,11,6,,,CD_T80,11,4,6,11.0,11.0,True,False,True
CD_M20240140501,CD_T90,CD_T20,12,10,,,CD_T20,12,8,10,8.0,12.0,True,False,True
CD_M20240140502,CD_T140,CD_T50,15,6,,,CD_T50,15,5,6,9.0,13.0,True,False,True
CD_M20240140503,CD_T1010,CD_T130,12,7,,,CD_T130,12,5,7,11.0,14.0,True,False,True
CD_M20240140504,CD_T30,CD_T10,16,4,,,CD_T10,16,4,4,14.0,14.0,True,True,True
CD_M20240140505,CD_T1000,CD_T80,8,8,,,CD_T80,8,8,8,16.0,13.0,True,True,True
CD_M20240140506,CD_T110,CD_T60,9,9,,,CD_T60,9,5,9,9.0,12.0,True,False,True
CD_M20240140507,CD_T70,CD_T100,10,4,,,CD_T100,10,3,4,21.0,13.0,True,False,True
CD_M20240140508,CD_T150,CD_T120,10,10,,,CD_T120,10,9,10,16.0,13.0,True,False,True
CD_M20240140601,CD_T130,CD_T140,19,10,,,CD_T140,19,5,10,9.0,10.0,True,False,True
CD_M20240140602,CD_T10,CD_T50,10,18,,,CD_T50,10,13,18,11.0,9.0,True,False,True
CD_M20240140603,CD_T40,CD_T110,12,9,,,CD_T110,12,6,9,17.0,21.0,True,False,True
CD_M20240140604,CD_T30,CD_T1010,15,8,,,CD_T1010,15,4,8,17.0,15.0,True,False,True
CD_M20240140605,CD_T20,CD_T70,9,9,,,CD_T70,9,7,9,4.0,13.0,True,False,True
CD_M20240140606,CD_T150,CD_T60,10,8,,,CD_T60,10,6,8,16.0,9.0,True,False,True
CD_M20240140607,CD_T160,CD_T1000,8,9,,,CD_T1000,8,8,9,17.0,8.0,True,False,True
CD_M20240140608,CD_T100,CD_T80,17,11,,,CD_T80,17,10,11,10.0,8.0,True,False,True
CD_M20240140701,CD_T120,CD_T90,13,7,,,CD_T90,13,5,7,5.0,12.0,True,False,True
CD_M20240140702,CD_T50,CD_T40,12,13,,,CD_T40,12,11,13,12.0,13.0,True,False,True
CD_M20240140703,CD_T1010,CD_T20,8,11,,,CD_T20,8,9,11,17.0,11.0,True,False,True
CD_M20240140704,CD_T110,CD_T130,11,6,,,CD_T130,11,5,6,11.0,16.0,True,False,True
CD_M20240140705,CD_T100,CD_T10,20,18,,,CD_T10,20,12,18,12.0,9.0,True,False,True
CD_M20240140706,CD_T70,CD_T30,15,15,,,CD_T30,15,13,15,18.0,10.0,True,False,True
CD_M20240140707,CD_T60,CD_T140,10,11,,,CD_T140,10,10,11,14.0,11.0,True,False,True
CD_M20240140708,CD_T1000,CD_T150,12,3,,,CD_T150,12,3,3,17.0,10.0,True,True,True
CD_M20240140709,CD_T80,CD_T160,18,10,,,CD_T160,18,9,10,5.0,12.0,True,False,True
CD_M20240140801,CD_T10,CD_T110,5,18,,,CD_T110,5,14,18,12.0,6.0,True,False,True
CD_M20240140802,CD_T30,CD_T40,12,13,,,CD_T40,12,9,13,12.0,7.0,True,False,True
CD_M20240140803,CD_T160,CD_T1010,10,9,,,CD_T1010,10,7,9,14.0,14.0,True,False,True
CD_M20240140804,CD_T130,CD_T100,10,5,,,CD_T100,10,5,5,15.0,13.0,True,True,True
CD_M20240140805,CD_T90,CD_T70,9,12,,,CD_T70,9,11,12,10.0,14.0,True,False,True
CD_M20240140806,CD_T150,CD_T50,11,11,,,CD_T50,11,10,11,11.0,5.0,True,False,True
CD_M20240140807,CD_T120,CD_T60,15,13,,,CD_T60,15,9,13,6.0,13.0,True,False,True
CD_M20240140808,CD_T140,CD_T80,14,14,,,CD_T80,14,12,14,14.0,7.0,True,False,True
CD_M20240140809,CD_T20,CD_T1000,6,9,,,CD_T1000,6,7,9,10.0,19.0,True,False,True
CD_M20240140901,CD_T30,CD_T90,11,10,,,CD_T90,11,6,9,12.0,5.0,True,False,False
CD_M20240140902,CD_T70,CD_T110,15,11,,,CD_T110,15,10,11,14.0,11.0,True,False,True
CD_M20240140903,CD_T60,CD_T160,13,9,,,CD_T160,13,8,9,4.0,15.0,True,False,True
CD_M20240140904,CD_T80,CD_T130,7,11,,,CD_T130,7,8,11,8.0,10.0,True,False,True
CD_M20240140905,CD_T50,CD_T1010,9,8,,,CD_T1010,9,6,8,12.0,10.0,True,False,True
CD_M20240140906,CD_T120,CD_T140,19,19,,,CD_T140,19,18,19,6.0,6.0,True,False,True
CD_M20240140907,CD_T1000,CD_T100,7,10,,,CD_T100,7,9,10,17.0,18.0,True,False,True
CD_M20240140908,CD_T40,CD_T150,5,7,,,CD_T150,5,6,7,15.0,13.0,True,False,True
CD_M20240140909,CD_T10,CD_T20,13,12,,,CD_T20,13,10,11,13.0,12.0,True,False,False
CD_M20240141001,CD_T1000,CD_T70,15,10,,,CD_T70,15,7,10,26.0,8.0,True,False,True
CD_M20240141002,CD_T160,CD_T30,9,11,,,CD_T30,9,7,11,17.0,15.0,True,False,True
CD_M20240141003,CD_T40,CD_T10,11,8,,,CD_T10,11,7,8,12.0,6.0,True,False,True
CD_M20240141004,CD_T1010,CD_T140,8,22,,,CD_T140,8,15,22,6.0,7.0,True,False,True
CD_M20240141005,CD_T130,CD_T60,9,18,,,CD_T60,9,18,18,8.0,7.0,True,True,True
CD_M20240141006,CD_T20,CD_T120,6,8,,,CD_T120,6,5,8,26.0,7.0,True,False,True
CD_M20240141007,CD_T50,CD_T100,10,6,,,CD_T100,10,5,6,16.0,10.0,True,False,True
CD_M20240141008,CD_T110,CD_T80,12,7,,,CD_T80,12,6,7,11.0,14.0,True,False,True
CD_M20240141009,CD_T150,CD_T90,10,10,,,CD_T90,10,7,10,16.0,9.0,True,False,True
CD_M20240141101,CD_T140,CD_T160,16,6,,,CD_T160,16,5,5,12.0,16.0,True,False,False
CD_M20240141102,CD_T60,CD_T40,10,15,,,CD_T40,10,12,15,11.0,9.0,True,False,True
CD_M20240141103,CD_T100,CD_T110,16,11,,,CD_T110,16,10,11,7.0,6.0,True,False,True
CD_M20240141104,CD_T30,CD_T1000,11,7,,,CD_T1000,11,7,7,15.0,12.0,True,True,True
CD_M20240141105,CD_T70,CD_T1010,11,12,,,CD_T1010,11,10,12,11.0,8.0,True,False,True
CD_M20240141106,CD_T120,CD_T50,12,14,,,CD_T50,12,10,14,10.0,14.0,True,False,True
CD_M20240141107,CD_T80,CD_T20,10,15,,,CD_T20,10,13,15,15.0,10.0,True,False,True
CD_M20240141108,CD_T90,CD_T130,9,8,,,CD_T130,9,5,8,14.0,16.0,True,False,True
CD_M20240141109,CD_T10,CD_T150,5,8,,,CD_T150,5,7,8,21.0,11.0,True,False,True
CD_M20240141201,CD_T110,CD_T30,16,11,,,CD_T30,16,9,11,10.0,11.0,True,False,True
CD_M20240141202,CD_T40,CD_T140,15,10,,,CD_T140,15,8,10,12.0,10.0,True,False,True
CD_M20240141203,CD_T80,CD_T10,12,8,,,CD_T10,12,5,8,16.0,11.0,True,False,True
CD_M20240141204,CD_T150,CD_T130,12,10,,,CD_T130,12,9,10,10.0,8.0,True,False,True
CD_M20240141205,CD_T70,CD_T120,10,9,,,CD_T120,10,7,9,15.0,9.0,True,False,True
CD_M20240141206,CD_T90,CD_T60,22,9,,,CD_T60,22,9,9,7.0,7.0,True,True,True
CD_M20240141207,CD_T1000,CD_T50,11,14,,,CD_T50,11,13,14,14.0,7.0,True,False,True
CD_M20240141301,CD_T10,CD_T120,12,7,,,CD_T120,12,6,7,10.0,11.0,True,False,True
CD_M20240141302,CD_T140,CD_T20,17,12,,,CD_T20,17,10,12,10.0,11.0,True,False,True
CD_M20240141303,CD_T80,CD_T1010,12,7,,,CD_T1010,12,6,7,12.0,13.0,True,False,True
CD_M20240141304,CD_T150,CD_T100,11,8,,,CD_T100,11,6,8,8.0,17.0,True,False,True
CD_M20240141305,CD_T130,CD_T1000,7,6,,,CD_T1000,7,3,6,7.0,9.0,True,False,True
CD_M20240141306,CD_T160,CD_T70,12,10,,,CD_T70,12,7,10,16.0,16.0,True,False,True
CD_M20240141307,CD_T50,CD_T30,15,6,,,CD_T30,15,5,6,9.0,16.0,True,False,True
CD_M20240141308,CD_T40,CD_T90,6,15,,,CD_T90,6,13,15,14.0,5.0,True,False,True
CD_M20240141401,CD_T20,CD_T130,16,10,,,CD_T130,16,7,10,19.0,12.0,True,False,True
CD_M20240141402,CD_T140,CD_T60,12,10,,,CD_T60,12,7,10,23.0,11.0,True,False,True
CD_M20240141403,CD_T120,CD_T80,14,13,,,CD_T80,14,11,13,6.0,13.0,True,False,True
CD_M20240141404,CD_T10,CD_T160,16,13,,,CD_T160,16,11,13,10.0,7.0,True,False,True
CD_M20240141405,CD_T100,CD_T40,18,11,,,CD_T40,18,10,11,19.0,4.0,True,False,True
CD_M20240141406,CD_T1010,CD_T110,6,15,,,CD_T110,6,12,15,9.0,19.0,True,False,True
CD_M20240141501,CD_T30,CD_T70,11,9,,,CD_T70,11,7,9,21.0,12.0,True,False,True
CD_M20240141502,CD_T110,CD_T20,23,14,,,CD_T20,23,10,14,10.0,13.0,True,False,True
CD_M20240141503,CD_T1010,CD_T160,15,12,,,CD_T160,15,10,12,11.0,9.0,True,False,True
CD_M20240141504,CD_T90,CD_T100,10,7,,,CD_T100,10,6,7,11.0,4.0,True,False,True
CD_M20240141505,CD_T50,CD_T150,13,14,,,CD_T150,13,11,14,19.0,8.0,True,False,True
CD_M20240141506,CD_T60,CD_T1000,10,5,,,CD_T1000,10,4,5,12.0,13.0,True,False,True
CD_M20240141601,CD_T10,CD_T1010,12,6,,,CD_T1010,12,5,6,13.0,16.0,True,False,True
CD_M20240141602,CD_T20,CD_T90,11,15,,,CD_T90,11,15,15,11.0,20.0,True,True,True
CD_M20240141603,CD_T70,CD_T50,9,6,,,CD_T50,9,5,6,16.0,9.0,True,False,True
CD_M20240141604,CD_T1000,CD_T40,13,12,,,CD_T40,13,9,12,14.0,17.0,True,False,True
CD_M20240141605,CD_T100,CD_T140,11,11,,,CD_T140,11,9,11,9.0,6.0,True,False,True
CD_M20240141606,CD_T120,CD_T30,20,11,,,CD_T30,20,7,10,10.0,10.0,True,False,False
CD_M20240141607,CD_T130,CD_T110,8,14,,,CD_T110,8,11,14,8.0,12.0,True,False,True
CD_M20240141608,CD_T160,CD_T60,15,9,,,CD_T60,15,7,9,14.0,14.0,True,False,True
CD_M20240141609,CD_T150,CD_T80,14,10,,,CD_T80,14,9,10,4.0,9.0,True,False,True
CD_M20240141701,CD_T20,CD_T10,13,8,,,CD_T10,13,6,8,14.0,13.0,True,False,True
CD_M20240141702,CD_T40,CD_T50,13,14,,,CD_T50,13,11,14,12.0,8.0,True,False,True
CD_M20240141703,CD_T60,CD_T120,7,12,,,CD_T120,7,9,12,16.0,9.0,True,False,True
CD_M20240141704,CD_T70,CD_T80,9,5,,,CD_T80,9,4,5,16.0,14.0,True,False,True
CD_M20240141705,CD_T1010,CD_T30,16,8,,,CD_T30,16,6,8,18.0,8.0,True,False,True
CD_M20240141706,CD_T90,CD_T150,8,10,,,CD_T150,8,8,10,17.0,10.0,True,False,True
CD_M20240141707,CD_T100,CD_T1000,12,11,,,CD_T1000,12,8,10,13.0,9.0,True,False,False
CD_M20240141708,CD_T110,CD_T140,8,6,,,CD_T140,8,6,6,15.0,12.0,True,True,True
CD_M20240141709,CD_T130,CD_T160,11,16,,,CD_T160,11,13,16,13.0,6.0,True,False,True
CD_M20240141801,CD_T10,CD_T130,5,9,,,CD_T130,5,5,9,10.0,11.0,True,False,True
CD_M20240141802,CD_T40,CD_T70,13,13,,,CD_T70,13,11,13,10.0,11.0,True,False,True
CD_M20240141803,CD_T1000,CD_T110,12,10,,,CD_T110,12,8,10,14.0,12.0,True,False,True
CD_M20240141804,CD_T80,CD_T60,10,14,,,CD_T60,10,12,14,13.0,9.0,True,False,True
CD_M20240141805,CD_T90,CD_T50,10,7,,,CD_T50,10,7,7,13.0,6.0,True,True,True
CD_M20240141806,CD_T120,CD_T1010,17,6,,,CD_T1010,17,4,6,12.0,12.0,True,False,True
CD_M20240141807,CD_T160,CD_T100,9,5,,,CD_T100,9,4,5,20.0,18.0,True,False,True
CD_M20240141808,CD_T150,CD_T20,16,10,,,CD_T20,16,8,10,14.0,9.0,True,False,True
CD_M20240141809,CD_T140,CD_T30,12,14,,,CD_T30,12,14,14,14.0,16.0,True,True,True
CD_M20240141901,CD_T20,CD_T160,11,11,,,CD_T160,11,10,11,11.0,13.0,True,False,True
CD_M20240141902,CD_T30,CD_T100,14,4,,,CD_T100,14,4,4,16.0,11.0,True,True,True
CD_M20240141903,CD_T50,CD_T10,17,13,,,CD_T10,17,8,13,17.0,11.0,True,False,True
CD_M20240141904,CD_T60,CD_T90,10,6,,,CD_T90,10,5,6,17.0,14.0,True,False,True
CD_M20240141905,CD_T70,CD_T140,13,17,,,CD_T140,13,12,17,7.0,6.0,True,False,True
CD_M20240141906,CD_T1010,CD_T1000,6,14,,,CD_T1000,6,12,13,14.0,5.0,True,False,False
CD_M20240141907,CD_T80,CD_T40,9,13,,,CD_T40,9,10,13,20.0,13.0,True,False,True
CD_M20240141908,CD_T110,CD_T120,11,9,,,CD_T120,11,5,9,16.0,20.0,True,False,True
CD_M20240141909,CD_T130,CD_T150,6,5,,,CD_T150,6,5,5,17.0,11.0,True,True,True
CD_M20240142001,CD_T10,CD_T80,19,10,,,CD_T80,19,9,10,8.0,10.0,True,False,True
CD_M20240142002,CD_T30,CD_T110,11,13,,,CD_T110,11,11,13,9.0,11.0,True,False,True
CD_M20240142003,CD_T40,CD_T120,9,13,,,CD_T120,9,9,13,14.0,9.0,True,False,True
CD_M20240142004,CD_T60,CD_T150,11,9,,,CD_T150,11,6,9,17.0,8.0,True,False,True
CD_M20240142005,CD_T1000,CD_T20,13,15,,,CD_T20,13,13,15,9.0,11.0,True,False,True
CD_M20240142006,CD_T90,CD_T1010,13,7,,,CD_T1010,13,5,7,12.0,11.0,True,False,True
CD_M20240142007,CD_T100,CD_T70,16,10,,,CD_T70,16,7,10,10.0,6.0,True,False,True
CD_M20240142008,CD_T130,CD_T50,8,7,,,CD_T50,8,4,7,17.0,6.0,True,False,True
CD_M20240142009,CD_T160,CD_T140,12,15,,,CD_T140,12,12,15,7.0,6.0,True,False,True
CD_M20240142101,CD_T40,CD_T30,11,15,,,CD_T30,11,9,15,12.0,12.0,True,False,True
CD_M20240142102,CD_T50,CD_T60,14,5,,,CD_T60,14,5,5,13.0,12.0,True,True,True
CD_M20240142103,CD_T70,CD_T10,13,7,,,CD_T10,13,5,7,13.0,12.0,True,False,True
CD_M20240142104,CD_T1010,CD_T80,12,10,,,CD_T80,12,10,10,12.0,12.0,True,True,True
CD_M20240142105,CD_T100,CD_T120,10,17,,,CD_T120,10,14,17,14.0,6.0,True,False,True
CD_M20240142106,CD_T110,CD_T160,5,6,,,CD_T160,5,4,6,22.0,16.0,True,False,True
CD_M20240142107,CD_T130,CD_T20,19,10,,,CD_T20,19,7,10,5.0,9.0,True,False,True
CD_M20240142108,CD_T150,CD_T1000,13,9,,,CD_T1000,13,9,9,15.0,7.0,True,True,True
CD_M20240142109,CD_T140,CD_T90,9,5,,,CD_T90,9,3,5,15.0,20.0,True,False,True
CD_M20240142201,CD_T10,CD_T140,9,18,,,CD_T140,9,11,18,17.0,9.0,True,False,True
CD_M20240142202,CD_T20,CD_T1010,13,4,,,CD_T1010,13,4,4,8.0,16.0,True,True,True
CD_M20240142203,CD_T30,CD_T80,16,16,,,CD_T80,16,11,16,5.0,8.0,True,False,True
CD_M20240142204,CD_T50,CD_T1000,13,9,,,CD_T1000,13,6,9,12.0,14.0,True,False,True
CD_M20240142205,CD_T60,CD_T70,10,13,,,CD_T70,10,9,13,9.0,8.0,True,False,True
CD_M20240142206,CD_T90,CD_T110,7,11,,,CD_T110,7,6,11,7.0,9.0,True,False,True
CD_M20240142207,CD_T100,CD_T150,15,12,,,CD_T150,15,10,12,14.0,13.0,True,False,True
CD_M20240142208,CD_T120,CD_T130,15,9,,,CD_T130,15,5,9,7.0,9.0,True,False,True
CD_M20240142209,CD_T160,CD_T40,12,14,,,CD_T40,12,10,14,13.0,11.0,True,False,True
CD_M20240142301,CD_T40,CD_T20,11,12,,,CD_T20,11,9,12,11.0,13.0,True,False,True
CD_M20240142302,CD_T50,CD_T160,15,8,,,CD_T160,15,6,8,8.0,11.0,True,False,True
CD_M20240142303,CD_T1000,CD_T90,18,9,,,CD_T90,18,9,9,9.0,9.0,True,True,True
